GO:0032502	P	0.03	developmental process
GO:0022610	P	0.03	biological adhesion
GO:0044763	P	0.02	single-organism cellular process
GO:0022607	P	0.02	cellular component assembly
GO:0009888	P	0.02	tissue development
GO:0085027	P	0.01	entry into host via enzymatic degradation of host anatomical structure
GO:0071474	P	0.01	cellular hyperosmotic response
GO:0070831	P	0.01	basement membrane assembly
GO:0055013	P	0.01	cardiac muscle cell development
GO:0050829	P	0.01	defense response to Gram-negative bacterium
