GO:0044424	C	1.00	intracellular part
GO:0032991	C	0.98	macromolecular complex
GO:0030529	C	0.94	intracellular ribonucleoprotein complex
GO:0043229	C	0.93	intracellular organelle
GO:0044444	C	0.85	cytoplasmic part
GO:0044446	C	0.59	intracellular organelle part
GO:0044428	C	0.39	nuclear part
GO:0043232	C	0.39	intracellular non-membrane-bounded organelle
GO:0005737	C	0.32	cytoplasm
GO:0035770	C	0.23	ribonucleoprotein granule
GO:0036464	C	0.22	cytoplasmic ribonucleoprotein granule
GO:0043227	C	0.19	membrane-bounded organelle
GO:0043231	C	0.18	intracellular membrane-bounded organelle
